a52dec: 20 total files, 0 missing files
aalib: 88 total files, 0 missing files
acetoneiso2: 8 total files, 0 missing files
acl: 88 total files, 0 missing files
alsa-lib: 172 total files, 0 missing files
alsa-utils: 89 total files, 0 missing files
aptana-studio: 4190 total files, 0 missing files
archlinux-keyring: 7 total files, 0 missing files
aria2: 151 total files, 0 missing files
aspell: 208 total files, 0 missing files
at-spi2-atk: 17 total files, 0 missing files
at-spi2-core: 296 total files, 0 missing files
atk: 398 total files, 0 missing files
atkmm: 59 total files, 0 missing files
attr: 66 total files, 0 missing files
autoconf: 74 total files, 0 missing files
automake: 138 total files, 0 missing files
avahi: 340 total files, 0 missing files
babl: 25 total files, 0 missing files
bash: 140 total files, 0 missing files
batti: 80 total files, 0 missing files
binutils: 279 total files, 0 missing files
bison: 184 total files, 0 missing files
bullet: 410 total files, 0 missing files
bzip2: 26 total files, 0 missing files
c-ares: 62 total files, 0 missing files
ca-certificates: 177 total files, 0 missing files
ca-certificates-java: 15 total files, 0 missing files
cairo: 124 total files, 0 missing files
cairomm: 244 total files, 0 missing files
cantarell-fonts: 10 total files, 0 missing files
cdparanoia: 18 total files, 0 missing files
cdrdao: 16 total files, 0 missing files
cdrkit: 46 total files, 0 missing files
chromium: 108 total files, 0 missing files
cifs-utils: 24 total files, 0 missing files
cloog: 40 total files, 0 missing files
colord: 361 total files, 0 missing files
compositeproto: 16 total files, 0 missing files
compton-git: 17 total files, 0 missing files
coreutils: 420 total files, 0 missing files
cracklib: 129 total files, 0 missing files
cronie: 39 total files, 0 missing files
cryptsetup: 62 total files, 0 missing files
curl: 87 total files, 0 missing files
damageproto: 16 total files, 0 missing files
darkplaces: 29 total files, 0 missing files
db: 31 total files, 0 missing files
dbus: 67 total files, 0 missing files
dbus-glib: 44 total files, 0 missing files
dconf: 286 total files, 0 missing files
desktop-file-utils: 13 total files, 0 missing files
device-mapper: 34 total files, 0 missing files
dhcpcd: 34 total files, 0 missing files
dialog: 186 total files, 0 missing files
diffutils: 15 total files, 0 missing files
dirmngr: 75 total files, 0 missing files
djvulibre: 94 total files, 0 missing files
dmenfm: 3 total files, 0 missing files
dmenu: 14 total files, 0 missing files
dnssec-anchors: 7 total files, 0 missing files
dnsutils: 14 total files, 0 missing files
dotconf: 72 total files, 0 missing files
dvd+rw-tools: 11 total files, 0 missing files
e2fsprogs: 164 total files, 0 missing files
eclim: 708 total files, 0 missing files
eclipse: 1554 total files, 0 missing files
efl: 589 total files, 0 missing files
elementary: 588 total files, 0 missing files
elfutils: 89 total files, 0 missing files
enca: 24 total files, 0 missing files
enchant: 25 total files, 0 missing files
evas_generic_loaders: 103 total files, 0 missing files
evince: 3345 total files, 0 missing files
exo: 315 total files, 0 missing files
expac: 10 total files, 0 missing files
expat: 19 total files, 0 missing files
faac: 17 total files, 0 missing files
faad2: 20 total files, 0 missing files
fakeroot: 39 total files, 0 missing files
ffmpeg: 192 total files, 0 missing files
file: 24 total files, 0 missing files
filesystem: 90 total files, 0 missing files
findutils: 131 total files, 0 missing files
firefox: 96 total files, 0 missing files
fixesproto: 16 total files, 0 missing files
flac: 45 total files, 0 missing files
flashplugin: 38 total files, 0 missing files
flex: 104 total files, 0 missing files
fluxbox: 326 total files, 0 missing files
fontconfig: 485 total files, 0 missing files
fontconfig-infinality: 237 total files, 0 missing files
fontsproto: 20 total files, 0 missing files
fribidi: 64 total files, 0 missing files
fuse: 35 total files, 0 missing files
fuseiso: 3 total files, 0 missing files
